Exporters,Importers,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016
UK,World,481225754,548041853,511145443,466295683,408934503
UK,USA,64195617,62795007,64197476,69381207,60399352
UK,Germany,52046679,48040601,52026088,46631518,43637136
UK,France,34477025,35028468,32503639,27275622,25899350
UK,Netherlands,37848605,37343498,36737709,26457524,25597601
UK,Ireland,25520953,28376124,29319080,25499052,22899162
UK,Switzerland,16207201,71112261,35132598,34021569,18880247
UK,China,15688191,18119205,26235500,27625409,17963306
UK,Belgium,21702278,21282489,20783709,17715048,15769818
UK,Italy,12390982,13159617,14426201,12879341,13109678
UK,Spain,12924131,13258360,14511376,13536203,12670015
UK,United Arab Emirates,8247371,15565374,10538688,10449620,8973867
UK,"Hong Kong, China",9129304,14137564,12047457,10135162,8849211
UK,Special categories,0,0,0,0,7974786
UK,Japan,7265956,7039625,7129033,6589815,6353986
UK,Canada,7692771,7080068,6743229,5873845,6153434
UK,Sweden,8715212,8721302,8987370,6747476,6118144
UK,Singapore,6905516,6665452,6245889,6004130,6111406
UK,Turkey,5571480,6793630,6130731,5398413,6018495
UK,"Korea, Republic of",7249722,7539887,6911799,7164477,5836802
UK,Saudi Arabia,5165375,6600495,6873329,8300479,5832967
UK,Poland,5119920,5683919,6308905,5537518,5690784
UK,Australia,7017649,6337133,6056547,5784002,5211333
UK,India,7239687,8005564,6411584,5978363,4351908
UK,Norway,5769582,5548661,6055438,4844634,4069724
UK,Russian Federation,8744455,8104219,6641244,3893959,3368771
UK,Denmark,4027377,4570207,4595270,3534250,3364480
UK,Czech Republic,2765019,2941550,3362409,2999000,2903867
UK,South Africa,5500088,4055613,3919867,3364302,2648932
UK,Brazil,4093084,4025714,3798274,3276148,2519170
UK,Qatar,2074853,2294899,2756949,3115378,2481204
UK,Austria,2336836,2517657,2669238,2454159,2446210
UK,Portugal,2058162,2076412,2191585,1911095,1940272
UK,Hungary,1649339,1894758,1990225,1951036,1828899
UK,Finland,2311078,2357033,2633926,2054751,1803691
UK,Malaysia,2348963,2453724,2469238,2057110,1725916
UK,Mexico,1697337,1735506,1727052,1952465,1672274
UK,Egypt,1459320,1475655,1731887,1545231,1622189
UK,"Taipei, Chinese",1708014,1865817,1795972,1772966,1520658
UK,Thailand,3230802,3695538,2402158,1888358,1459443
UK,Israel,2361456,2160595,1805478,1587842,1448869
UK,Romania,1401524,1459427,1539921,1508060,1410226
UK,Nigeria,2523470,2424305,2271627,1620696,1270590
UK,Greece,1360894,1452791,1629680,1355254,1231570
UK,Morocco,959977,700861,944424,732687,1154304
UK,New Zealand,903581,941366,1065330,862890,932482
UK,"Macedonia, The Former Yugoslav Republic of",529304,659931,888977,810122,889834
UK,Pakistan,845933,742615,854622,788198,834155
UK,Iceland,318717,303008,315573,337163,756941
UK,Ghana,818601,616215,559607,476295,745712
UK,Slovakia,791580,726238,759543,675367,715855
UK,Indonesia,1003692,1083085,1022397,704981,699030
UK,Kuwait,920164,831814,894652,884871,669701
UK,Bulgaria,458493,609531,728194,530649,655834
UK,Viet Nam,463137,475754,560311,575497,644744
UK,Oman,714673,868720,907696,702980,629890
UK,Chile,1028585,1684216,781577,683691,605462
UK,Algeria,575425,828939,789673,509427,557035
UK,Philippines,527180,585363,601167,600526,537035
UK,Malta,593155,679471,671361,575080,533135
UK,Azerbaijan,806358,1448315,953143,1015386,527799
UK,Angola,636489,857460,999945,698602,498566
UK,Ukraine,921285,865127,584374,432856,495135
UK,Gibraltar,880531,808374,820301,716733,489014
UK,Bahrain,456253,423381,488080,456775,476644
UK,Ship stores and bunkers,0,0,0,98762,460340
UK,Lebanon,668001,783261,820379,586930,449452
UK,Lithuania,547325,505324,491912,412334,441016
UK,Cyprus,710763,725026,723938,566864,436310
UK,Kenya,611654,704041,672414,552487,413552
UK,Argentina,562049,537066,492005,441106,397849
UK,Colombia,480143,528739,549732,551578,351967
UK,Jordan,370914,428324,428177,406284,348798
UK,Slovenia,323310,316274,398880,308107,331764
UK,Kazakhstan,813991,804737,591658,512539,330268
UK,Latvia,378956,576993,550032,329418,313867
UK,Estonia,432183,501645,443400,335323,311933
UK,Iraq,451800,636709,619950,431202,297074
UK,Cayman Islands,33474,47945,84718,28989,288119
UK,Luxembourg,335776,367019,351830,335030,283804
UK,Bangladesh,164499,220251,215490,204611,275540
UK,Sri Lanka,237914,260692,275847,370778,274999
UK,Tunisia,252125,250757,264251,213071,245799
UK,Ethiopia,163949,154394,178008,279250,243582
UK,Croatia,229342,214809,233140,211202,224141
UK,Peru,260095,262318,280968,282134,210974
UK,"Libya, State of",298124,421056,272726,161518,204104
UK,"Iran, Islamic Republic of",159050,124642,159099,144050,189751
UK,Serbia,198984,219321,205407,201151,174857
UK,Panama,306890,289219,297528,263523,171289
UK,Congo,82860,101443,128865,225100,169029
UK,Togo,448206,142285,299019,53785,167260
UK,Trinidad and Tobago,182358,205363,199531,221909,164755
UK,Uruguay,169534,246738,182634,331256,162850
UK,"Venezuela, Bolivarian Republic of",5902796,453680,330277,318875,142783
UK,Georgia,88730,73946,95149,94290,139616
UK,"Tanzania, United Republic of",282192,267377,275657,186595,139193
UK,Dominican Republic,117527,115956,130077,200095,138197
UK,Brunei Darussalam,1281382,1492407,301162,630209,129364
UK,Senegal,1486461,500484,493764,143447,123025
UK,Côte d'Ivoire,133289,158221,132653,188438,114573
UK,Sudan (Sudan and South Sudan),219602,159071,121239,143208,93550
UK,Mauritius,110892,98691,97755,87071,89640
UK,Costa Rica,77704,83701,96682,114928,88021
UK,Jamaica,75178,69110,71330,72345,71308
UK,Belarus,195005,145214,138389,100113,68780
UK,Papua New Guinea,71563,76538,25745,23361,67438
UK,Botswana,39396,1045473,42337,32173,66046
UK,Falkland Islands (Malvinas),97611,81432,116171,199684,63018
UK,Barbados,60363,66823,55907,54741,62449
UK,Zambia,141350,137911,106552,98694,61606
UK,Uganda,100636,76805,74691,74034,59566
UK,"Moldova, Republic of",64437,70007,65169,56365,57422
UK,Cameroon,90227,102773,76613,60753,56854
UK,"Macao, China",81127,102054,88201,70549,55249
UK,British Virgin Islands,25360,93369,33601,64226,54766
UK,Ecuador,463111,388000,182661,182024,53203
UK,Yemen,128602,158977,116799,42274,49274
UK,Turkmenistan,447351,229590,208805,42096,45254
UK,Guyana,44387,41222,42845,36495,44370
UK,Uzbekistan,69911,65956,41486,30376,43566
UK,Myanmar,20389,69183,33751,26156,42275
UK,Namibia,121388,86295,78479,58489,40903
UK,Paraguay,50590,55533,56429,41149,39368
UK,Sierra Leone,107299,113336,91386,53754,38869
UK,Guatemala,49275,48845,58200,52024,38359
UK,Zimbabwe,95483,81519,67443,59499,36437
UK,Cuba,41790,37681,31498,38621,34626
UK,Bahamas,60945,24875,34024,45349,32617
UK,Gabon,83676,93256,83978,53220,31662
UK,Bermuda,156893,108687,77604,35116,29600
UK,Netherlands Antilles,413386,43451,37737,51623,29578
UK,Bosnia and Herzegovina,35835,33254,37892,36865,29448
UK,Guinea,153598,251298,60441,31974,28940
UK,Benin,101844,109766,104101,90109,28398
UK,Seychelles,32605,30671,39511,26222,28256
UK,Equatorial Guinea,93863,75756,96267,48860,28245
UK,Mali,15523,15832,24421,36928,27868
UK,Gambia,59744,46110,33904,29121,27282
UK,"Congo, Democratic Republic of the",39399,52001,53584,40070,26160
UK,Saint Lucia,22932,22323,21134,22242,25855
UK,El Salvador,23319,22262,26939,26579,25849
UK,Aruba,112996,64990,65572,30481,24132
UK,Cambodia,17130,27813,18371,25274,23588
UK,"Bolivia, Plurinational State of",35101,36350,32765,36194,23427
UK,Albania,33673,30161,33405,23449,23393
UK,Saint Helena,22604,24225,20499,32140,22381
UK,Montenegro,20758,24558,18793,15369,22035
UK,Afghanistan,164811,103659,48816,27253,21342
UK,Montserrat,667,11062,7712,641,21159
UK,Antigua and Barbuda,13767,21425,23501,39282,21037
UK,Madagascar,19520,19015,13860,16424,19496
UK,Belize,18088,13480,12920,11171,18883
UK,Maldives,13196,13672,19227,26182,18471
UK,Malawi,30542,23975,23330,17444,18192
UK,Liberia,30315,26679,25580,17919,18158
UK,Mozambique,113052,70774,68496,48555,17977
UK,Haiti,18322,15199,14012,11293,16562
UK,Armenia,24561,30421,23490,22296,16308
UK,Suriname,21045,25736,18207,19615,16276
UK,New Caledonia,29497,18692,22420,27636,15438
UK,Honduras,16160,18475,18783,18590,14925
UK,Saint Vincent and the Grenadines,13905,21973,19231,16776,14527
UK,Nepal,13824,12688,12968,15641,13783
UK,Fiji,7249,12449,16063,13362,13124
UK,Faroe Islands,19981,17178,19543,14795,12881
UK,Mauritania,69280,87427,22368,26594,12797
UK,Djibouti,44653,10555,21725,18121,12364
UK,Burkina Faso,20119,20477,13470,10367,12192
UK,Dominica,8542,8713,8134,9085,11791
UK,Andorra,14394,13816,11402,13331,11342
UK,Somalia,12495,16801,13753,11699,11054
UK,Grenada,8367,8896,10042,9915,10828
UK,"Palestine, State of",8599,5638,1668,9071,10082
UK,French Polynesia,7002,8280,9081,10467,9982
UK,Rwanda,20726,15291,11092,11695,9825
UK,Nicaragua,8847,9529,8439,13750,9723
UK,United States Minor Outlying Islands,5552,3018,5907,5790,7729
UK,Lao People's Democratic Republic,5493,7074,5865,9758,7514
UK,Mongolia,17569,32458,20960,13845,7471
UK,Saint Kitts and Nevis,11907,6653,10304,16252,7371
UK,Syrian Arab Republic,41849,26376,19179,10369,6990
UK,Niger,2812,10329,11090,10664,5288
UK,Kyrgyzstan,19588,4734,8265,8343,5095
UK,Cabo Verde,5282,20751,37854,4454,5052
UK,Swaziland,3785,3847,4056,4096,4029
UK,Turks and Caicos Islands,2881,2799,3429,3605,3677
UK,Chad,11934,17447,13636,4186,3416
UK,Greenland,2891,9275,1646,1676,3137
